Category1;Category2;Category3;Category4;Category5;Category6;Category7;Category8;Category9;Category10
61;104;34;45;22;19;318;271;237;262
9;14;19;59;104;188;317;306;221;302
96;296;29;38;88;208;317;293;166;342
109;6;19;61;162;244;318;274;138;246
8;124;198;67;138;242;319;312;15;262
86;128;101;55;126;212;318;286;192;294
77;152;133;51;134;246;318;28;16;254
118;112;101;39;12;202;318;293;147;31
74;164;18;55;94;2;318;274;15;298
64;16;21;54;62;122;318;285;144;266
64;156;22;57;5;202;318;266;134;278
109;144;22;37;34;194;318;273;166;262
102;116;122;29;94;166;318;28;208;342
9;164;32;5;134;202;318;306;157;286
205;112;7;37;5;104;317;277;198;344
118;204;189;5;166;218;319;283;141;234
106;176;102;27;24;116;318;263;128;336
58;112;157;45;78;15;318;277;144;29
115;108;51;37;34;98;317;258;221;336
9;184;51;66;104;178;318;279;186;254
7;128;93;47;54;158;318;282;176;298
8;116;109;23;82;15;318;278;93;288
9;164;21;5;3;168;318;291;144;274
7;8;256;5;11;15;319;286;147;238
61;104;83;46;82;186;318;29;218;254
67;204;282;51;9;166;32;285;15;234
7;128;149;46;58;146;318;297;173;286
93;116;26;51;142;24;318;297;218;28
19;4;45;48;7;106;318;298;122;248
74;196;14;65;4;98;318;273;122;278
106;128;22;49;74;124;317;294;16;328
96;108;8;66;72;202;318;286;157;326
42;188;26;105;106;21;318;286;115;262
102;116;78;41;11;2;318;301;138;326
99;108;93;41;62;146;318;297;173;294
7;96;22;47;46;212;318;289;17;298
77;124;21;54;88;142;318;286;176;288
58;144;19;53;24;94;318;329;218;29
8;12;125;43;178;262;318;275;16;27
128;148;142;61;96;198;318;281;16;248
138;112;18;37;82;116;318;269;122;33
106;104;25;56;178;28;32;272;218;254
96;12;36;43;22;28;318;285;198;264
58;112;27;47;142;214;318;278;144;272
141;132;19;56;32;156;318;307;141;306
102;104;133;61;86;24;319;289;163;246
93;6;18;33;32;11;317;294;128;304
51;108;248;57;66;18;319;258;138;232
83;132;189;65;128;17;319;275;176;266
17;64;43;41;9;17;316;285;17;352
9;156;22;35;126;196;316;274;205;344
34;116;18;4;118;186;318;282;176;286
8;1;22;34;94;14;317;294;141;296
7;104;141;31;62;15;318;265;131;304
128;68;206;38;158;248;319;274;157;25
64;148;99;31;64;13;318;301;157;326
125;216;22;179;9;176;318;277;17;24
106;128;25;62;166;302;319;289;179;278
112;156;38;55;66;21;318;285;173;296
7;92;277;54;98;158;32;274;147;234
106;112;22;39;7;146;318;291;182;282
83;88;82;42;62;174;318;293;102;27
99;208;27;33;14;82;318;273;138;278
99;128;19;27;54;222;318;271;173;262
8;84;24;5;56;144;318;294;189;294
77;88;171;48;7;108;318;254;115;258
106;112;98;21;11;138;317;288;102;326
54;144;131;32;118;148;318;279;131;33
93;136;194;34;9;236;319;278;15;282
83;204;42;51;7;212;318;266;16;298
51;132;24;38;42;13;318;279;134;258
61;156;16;37;38;94;317;294;122;346
7;128;166;49;168;268;319;277;17;254
61;152;18;26;8;14;317;277;122;304
9;12;5;45;64;154;318;271;138;23
102;72;12;47;19;298;318;279;131;238
9;88;205;45;136;2;318;287;138;286
77;108;29;58;138;254;318;287;16;288
125;112;147;41;26;122;318;273;112;322
115;232;24;5;112;154;319;28;163;24
93;132;14;47;54;156;317;286;16;304
61;12;205;61;13;306;319;279;157;242
102;196;27;35;118;146;317;273;147;334
9;224;27;178;13;142;318;275;118;246
67;12;139;41;126;17;318;282;125;282
54;296;58;57;78;17;318;291;128;33
61;104;198;55;134;196;319;294;115;238
61;1;22;58;11;142;318;314;211;28
58;144;21;64;192;218;32;304;112;242
83;196;51;31;74;116;318;27;102;302
48;196;24;35;46;162;318;27;128;274
61;84;15;38;238;212;318;297;134;214
34;116;18;4;118;186;318;282;176;286
141;108;134;65;16;214;318;281;115;314
58;184;22;73;98;214;318;299;144;296
96;88;102;64;118;224;318;278;112;27
208;48;18;15;1;14;318;295;115;36
7;92;277;54;98;158;32;274;147;234
125;248;176;54;176;238;319;281;16;232
74;16;12;56;32;102;319;272;269;258
74;184;102;41;46;114;318;275;25;312
83;156;22;23;32;88;317;289;24;302
64;12;98;42;82;16;318;288;163;288
133;52;22;46;3;86;318;293;166;28
15;196;208;273;112;294;32;263;163;246
96;64;67;33;98;134;317;294;115;314
34;116;18;4;118;186;318;282;176;286
51;1;157;56;158;182;318;281;122;266
67;116;26;39;78;158;318;294;16;294
51;128;2;4;48;208;319;256;115;24
58;12;205;71;5;228;319;266;166;24
61;24;64;42;16;162;318;259;189;278
109;176;67;54;136;192;317;267;243;328
9;88;29;39;86;154;317;298;141;336
93;196;22;162;138;198;318;274;157;24
222;24;109;48;24;112;318;306;141;272
61;132;162;72;168;178;318;254;131;242
77;72;107;53;88;214;319;285;179;262
96;144;109;63;118;312;319;31;205;272
158;88;29;53;82;186;318;302;173;278
61;172;174;51;142;206;319;313;246;278
106;12;48;41;8;166;317;294;128;35
122;136;133;59;118;224;319;277;166;246
112;116;23;5;144;236;32;282;186;238
109;196;117;59;8;194;319;282;195;272
45;14;22;45;64;17;318;264;218;278
77;152;128;48;15;25;318;286;147;246
8;164;29;42;138;22;317;293;125;326
58;128;115;54;46;146;318;304;141;278
7;112;192;64;182;19;319;266;96;246
77;16;286;56;134;246;32;297;134;256
115;176;133;291;74;19;318;278;138;272
93;1;22;38;8;152;316;274;138;352
83;168;155;5;8;186;318;282;15;242
83;124;38;49;154;238;318;304;218;282
112;156;14;48;4;82;318;263;9;278
99;36;22;46;15;194;318;283;147;266
115;128;168;51;94;18;318;274;106;31
51;12;107;49;114;204;318;322;147;282
58;184;218;59;102;158;319;28;16;266
74;128;136;66;126;248;318;283;128;264
9;152;32;59;62;208;317;278;166;296
51;144;26;48;34;82;318;286;173;288
93;176;58;225;2;244;318;267;122;242
77;196;93;61;66;16;318;267;314;28
118;12;99;46;13;186;317;282;86;362
96;132;56;42;98;206;317;282;118;33
109;112;235;54;13;264;319;287;147;254
109;116;35;41;66;134;317;272;141;314
67;152;35;3;106;138;318;289;128;296
77;76;8;49;46;134;318;326;182;266
58;12;18;38;54;76;317;269;163;294
67;84;82;111;56;14;318;273;147;256
7;128;26;51;106;16;318;265;141;28
77;116;162;57;56;14;318;278;112;254
179;88;142;39;72;178;319;285;163;242
8;192;35;48;74;218;319;283;189;258
61;112;22;53;58;12;317;282;163;312
42;116;222;64;88;126;319;282;125;25
74;96;227;61;5;126;319;282;16;256
61;14;27;41;88;134;318;286;173;288
102;104;197;5;64;274;318;277;186;264
83;164;35;56;78;148;318;263;141;266
102;128;77;47;106;248;318;286;173;294
7;148;243;58;182;238;32;302;272;248
155;0;24;74;22;138;318;322;128;258
51;12;219;64;88;224;319;258;141;232
51;176;22;49;66;146;318;277;24;274
54;152;24;37;74;15;318;289;176;304
38;116;165;45;11;13;318;283;122;262
77;148;119;49;158;25;318;285;16;25
58;18;7;53;152;222;318;278;198;298
109;76;93;47;58;194;318;28;202;264
96;132;205;47;16;224;319;275;179;262
67;128;14;43;102;162;317;288;147;282
74;1;277;53;4;146;319;28;134;246
93;12;18;25;54;146;316;297;122;342
102;1;27;39;98;182;318;309;16;288
109;1;77;43;42;162;318;298;227;336
322;184;22;53;9;246;319;269;157;272
48;116;21;33;26;86;318;298;125;27
45;12;86;51;7;14;318;295;144;248
96;88;163;56;152;254;319;274;128;248
54;16;233;54;126;208;32;297;25;242
86;172;12;56;174;324;318;278;15;24
141;196;123;51;42;226;318;277;118;232
8;116;12;56;102;21;319;305;122;256
74;144;24;34;198;162;317;288;317;322
67;136;19;45;146;186;318;269;99;274
147;72;53;62;48;19;318;278;163;288
7;76;18;73;96;254;318;271;16;254
74;184;16;62;24;96;318;262;157;242
74;108;157;63;198;178;318;281;128;272
48;188;182;4;13;17;318;27;109;28
38;132;46;5;56;98;317;282;102;344
77;136;43;54;172;291;318;294;186;258
157;128;83;49;48;138;318;288;144;286
77;22;13;46;178;288;318;288;16;246
64;152;189;63;136;226;32;297;262;238
99;152;168;35;142;186;318;297;147;312
125;124;23;49;74;216;32;282;173;242
7;96;74;5;104;212;318;266;9;306
58;12;16;35;62;98;317;287;166;302
93;188;48;59;126;194;318;293;24;266
54;132;96;41;8;148;318;295;186;27
67;108;29;48;11;194;32;294;115;232
8;112;23;63;146;274;319;278;122;24
157;92;106;39;16;21;318;271;154;298
99;112;24;42;32;158;318;295;163;278
118;88;133;29;96;288;319;296;192;256
58;88;88;42;26;114;318;307;141;326
83;148;88;29;82;14;317;272;106;336
86;104;56;81;7;92;317;275;122;306
54;136;24;104;112;18;318;289;157;256
109;136;202;55;18;54;318;283;128;312
67;96;37;54;16;252;318;325;23;27
176;12;13;3;38;94;318;262;115;314
58;148;19;56;16;126;318;282;166;27
109;16;13;53;182;226;318;28;16;254
99;2;213;64;182;26;319;267;15;246
83;116;16;37;72;128;317;301;141;328
46;196;86;55;144;218;318;317;141;288
112;212;162;61;98;202;319;273;128;25
131;88;77;59;13;19;318;279;198;246
74;1;22;56;114;188;318;304;173;272
93;1;17;45;86;16;318;294;109;27
58;12;19;53;13;266;318;27;122;248
102;92;154;3;7;158;318;282;17;326
35;136;225;46;11;152;319;273;189;294
147;104;101;168;13;212;318;279;15;266
179;104;174;69;146;258;319;286;141;25
74;124;72;53;112;166;318;294;205;288
9;184;246;67;86;236;32;29;186;24
141;96;194;64;182;28;319;271;16;254
7;296;43;5;112;192;317;294;131;326
77;96;29;54;78;122;318;294;138;264
48;168;27;51;13;206;318;266;192;278
67;148;51;24;54;106;317;302;15;32
64;16;3;17;54;13;317;299;176;322
86;16;19;87;112;166;318;295;15;27
83;2;182;33;66;124;318;287;157;28
64;12;14;22;1;38;317;285;115;32
8;148;216;69;138;256;319;266;141;242
8;2;122;54;144;246;318;282;144;246
106;84;16;61;104;198;318;278;144;25
8;148;42;57;64;176;318;27;17;298
64;176;16;65;64;148;318;274;102;298
8;196;144;5;82;246;319;297;157;266
83;124;58;29;58;134;317;266;15;322
96;196;131;63;13;25;319;313;186;258
86;96;19;5;54;136;318;291;134;29
176;56;133;37;94;218;318;314;163;334
74;14;165;48;144;186;319;287;15;246
115;14;138;43;98;166;318;266;102;33
157;196;112;49;78;198;318;286;106;266
74;116;5;26;5;118;317;289;163;298
77;164;139;41;78;198;318;286;198;264
9;104;27;48;9;174;318;305;16;286
77;112;184;57;9;218;319;294;144;254
8;116;18;78;104;166;318;297;186;294
45;152;16;47;58;108;317;27;173;304
96;196;197;56;134;192;319;274;182;272
106;176;142;63;138;218;318;275;154;256
64;108;174;43;78;174;318;277;141;28
8;112;23;63;146;274;319;278;122;24
118;28;194;45;56;21;319;266;234;248
64;172;24;61;16;246;32;291;253;234
7;124;101;33;11;174;318;274;157;288
96;188;22;56;134;25;318;283;144;254
74;272;176;54;98;178;319;266;122;234
144;26;155;91;3;212;318;27;154;25
9;124;34;53;74;278;318;287;205;262
58;124;277;63;86;262;32;278;147;24
77;18;61;31;56;17;318;315;157;298
86;148;14;29;3;66;316;293;106;35
64;124;26;43;9;154;317;289;125;32
139;152;147;66;176;324;319;287;173;242
8;156;303;43;112;206;32;264;15;24
112;1;9;37;62;16;318;261;211;274
51;292;16;158;154;2;318;274;96;246
64;16;24;42;94;142;318;307;16;304
64;16;123;37;136;234;318;286;86;304
197;4;22;78;66;206;318;285;154;258
102;248;17;41;15;204;319;278;141;238
7;128;35;32;96;122;317;29;189;318
9;132;19;45;42;13;317;273;125;312
102;12;3;38;11;19;317;293;134;342
42;88;203;66;64;244;318;295;134;312
99;136;109;67;136;286;318;296;179;274
74;2;166;49;162;176;318;254;147;242
131;264;173;58;206;258;319;271;147;232
83;232;126;47;166;24;319;273;122;24
112;144;26;43;3;166;318;289;154;294
54;136;32;46;102;148;317;288;144;344
106;108;13;211;32;25;318;278;198;25
48;156;29;49;56;212;318;313;15;266
8;72;22;64;34;182;318;277;134;254
93;128;93;46;42;15;318;27;186;298
77;12;19;42;3;126;317;263;115;334
77;14;19;43;58;222;317;275;154;282
106;136;32;5;162;228;317;289;17;354
72;96;157;62;158;186;318;282;125;272
125;96;43;19;58;106;317;27;118;306
7;288;109;48;88;224;318;278;115;246
74;112;154;29;7;162;318;291;122;302
61;104;142;45;112;242;318;282;147;264
86;1;93;43;138;206;318;291;122;25
42;108;42;4;86;102;318;286;243;302
54;108;74;57;62;13;318;274;15;254
109;92;101;45;98;19;318;283;208;266
67;136;19;49;98;284;318;274;16;256
122;92;104;57;48;136;318;275;176;298
96;168;118;29;136;234;318;27;102;304
96;68;45;46;64;166;318;267;147;24
9;104;3;56;32;114;318;28;122;25
9;104;2;53;128;238;319;275;166;24
7;196;61;48;7;14;318;275;125;28
67;12;9;5;114;214;318;32;131;282
99;124;15;24;138;198;317;261;102;306
83;132;24;54;118;222;318;278;141;28
99;124;158;46;26;234;318;307;176;304
178;104;72;61;46;168;318;288;147;242
74;132;205;64;118;226;319;304;134;262
155;116;66;3;5;134;318;267;122;33
7;136;29;65;78;138;318;338;182;274
131;96;86;4;88;154;317;278;141;344
109;14;29;48;22;222;317;277;131;322
74;108;226;38;12;222;32;242;138;258
74;128;3;43;106;158;317;295;17;314
58;148;21;46;4;128;317;272;195;322
72;152;19;85;126;174;318;294;128;274
96;108;186;32;58;13;318;263;122;312
138;112;192;64;62;232;319;294;176;248
64;116;189;4;56;124;318;282;109;318
8;112;116;32;38;104;318;262;118;306
83;84;259;85;11;262;319;269;16;262
77;116;136;42;33;278;318;258;122;294
64;6;106;53;7;15;318;266;186;264
42;136;149;71;106;168;319;286;125;256
138;128;22;55;26;9;318;274;131;304
58;296;19;53;144;224;319;318;218;27
83;172;188;51;142;264;319;29;176;254
7;12;142;27;46;158;318;266;109;28
96;128;21;62;72;244;318;294;138;27
7;1;18;57;258;234;317;306;198;296
118;132;62;31;106;174;317;291;125;338
99;92;32;79;78;178;318;277;198;262
138;112;18;37;82;116;318;269;122;33
118;128;26;33;11;136;317;303;176;338
7;116;14;39;9;118;317;279;115;296
109;264;254;53;7;218;319;279;16;234
93;22;35;57;46;158;318;278;221;274
77;136;18;39;13;21;316;295;102;35
51;88;26;48;96;142;317;288;102;304
61;124;232;51;104;258;319;275;16;246
77;116;213;45;13;174;318;296;147;294
9;112;67;5;138;21;318;298;141;286
96;2;194;51;102;17;319;27;17;238
272;196;139;32;106;246;318;286;115;286
9;108;248;41;82;178;318;283;141;346
64;128;48;35;7;158;318;301;218;298
99;104;35;58;74;222;318;299;15;278
25;2;24;51;8;178;317;289;154;312
86;104;131;48;56;178;318;305;205;262
7;1;178;64;298;236;318;274;115;25
86;76;106;51;262;234;318;281;109;27
112;204;19;33;26;136;317;307;134;318
122;116;218;55;138;252;319;266;192;254
96;12;19;33;66;124;316;294;128;362
67;124;96;53;78;144;318;29;16;288
77;188;243;65;106;312;32;269;211;24
86;12;35;42;96;172;317;257;96;306
9;1;284;5;128;214;32;297;154;254
131;0;26;72;96;116;318;29;214;288
64;104;203;53;16;19;318;29;112;288
96;128;22;37;82;214;318;262;134;28
77;108;3;55;106;226;318;323;173;266
51;136;13;33;7;102;318;289;163;27
86;104;189;61;146;23;319;277;192;262
51;108;248;57;66;18;319;258;138;232
74;96;26;42;86;154;317;286;163;304
7;164;246;57;146;254;32;295;189;238
86;136;168;49;13;304;319;27;131;278
7;112;123;49;152;234;318;278;176;266
77;14;16;59;94;194;318;306;141;266
134;164;37;39;58;194;318;272;166;294
53;96;18;58;66;14;318;295;15;242
86;6;24;64;94;17;318;278;144;234
112;16;19;69;62;144;318;29;173;246
83;12;125;56;104;202;318;266;186;266
8;108;145;45;98;17;318;29;109;302
9;88;184;41;72;2;318;266;106;282
58;112;157;45;78;15;318;277;144;29
74;224;263;72;14;376;32;275;163;248
64;104;235;51;142;166;319;266;221;25
61;184;61;47;218;25;318;283;192;298
96;116;36;42;22;28;318;283;198;264
8;136;75;35;9;178;318;286;122;282
144;28;18;34;26;174;317;264;9;288
83;108;24;46;5;152;318;298;198;28
7;156;96;4;118;188;317;277;106;334
99;104;117;57;98;21;319;274;138;24
86;296;24;41;72;162;318;298;154;298
61;164;18;46;102;19;317;259;134;304
96;148;21;58;42;128;318;295;198;266
96;192;118;61;9;198;318;282;17;262
96;132;34;48;82;17;317;295;134;334
123;1;59;35;102;162;318;285;202;298
106;104;25;56;178;28;32;272;218;254
9;88;117;47;7;21;318;306;205;262
163;12;67;75;102;22;318;285;134;242
67;24;34;53;126;22;318;271;173;27
7;88;266;5;104;146;319;288;154;24
58;148;24;49;42;138;318;282;16;288
96;88;22;53;42;18;318;274;246;278
96;1;3;33;88;158;317;298;211;334
106;8;29;35;13;212;318;303;17;294
74;8;182;5;12;174;318;263;163;258
93;16;311;49;96;208;32;261;15;238
9;88;194;55;112;218;318;285;147;27
7;152;146;5;94;17;318;264;96;294
77;156;24;62;98;21;318;286;166;248
99;108;141;24;152;208;318;274;122;294
74;168;289;57;94;192;32;286;134;234
7;16;236;48;118;173;32;298;131;242
115;212;206;56;168;186;319;262;144;242
58;12;32;43;104;254;318;295;118;326
9;216;206;56;166;217;319;272;144;242
74;136;21;29;62;148;317;298;118;338
77;108;182;39;106;232;319;285;141;24
67;176;3;41;26;158;318;267;224;342
96;144;72;62;82;27;318;302;182;278
74;128;136;66;126;248;318;283;128;264
77;88;24;43;102;21;318;303;176;264
64;148;24;56;74;172;318;28;166;288
67;148;26;56;62;126;318;281;154;29
86;96;74;112;96;17;318;28;157;256
83;136;107;33;56;216;318;274;16;282
64;136;152;47;102;268;318;279;141;27
9;12;85;62;118;214;318;278;154;274
67;16;19;45;102;142;318;286;173;288
106;128;16;47;104;16;317;272;118;326
147;104;43;48;74;11;317;301;163;32
48;112;7;33;38;142;318;288;147;278
96;16;29;32;62;162;318;279;125;29
58;104;277;58;46;198;319;266;138;25
93;208;27;39;11;258;318;289;189;278
96;112;91;5;82;166;318;281;163;272
83;132;18;31;122;15;317;298;138;304
7;228;22;238;38;128;318;281;138;266
83;196;133;54;144;254;318;287;128;274
112;8;91;39;48;156;318;296;138;27
176;6;157;35;5;166;318;298;15;272
96;132;37;49;74;166;317;297;141;336
77;108;22;65;88;202;318;286;179;254
86;96;202;5;128;158;319;27;179;266
112;296;16;5;48;176;318;278;176;272
64;136;91;4;86;11;318;283;147;306
115;8;26;31;64;186;318;277;202;262
67;22;234;61;9;212;319;261;141;246
77;148;29;35;16;82;317;294;109;326
122;68;141;91;134;282;319;309;211;25
64;12;94;39;94;202;319;309;128;226
109;1;102;4;102;138;318;258;74;326
131;136;75;48;5;17;318;289;134;278
106;312;158;48;56;334;318;267;176;294
7;132;34;59;4;102;318;285;131;282
66;64;201;58;82;154;318;302;122;288
74;104;13;62;126;242;318;278;157;25
83;92;82;39;128;214;318;339;163;28
67;128;26;51;102;126;317;287;301;33
187;28;114;5;9;194;318;297;182;258
54;116;38;33;138;158;317;27;106;344
7;144;22;64;56;204;318;285;17;278
182;156;62;39;58;162;318;293;214;342
125;104;43;43;104;25;318;303;16;288
96;132;56;38;66;154;317;285;141;312
74;132;16;49;122;146;317;27;208;288
8;18;125;55;138;25;318;285;17;242
99;132;203;43;88;154;318;27;208;278
74;96;62;51;96;184;318;28;205;302
9;148;146;42;42;102;318;271;173;296
166;24;43;59;8;106;318;295;138;248
8;192;16;5;208;32;319;289;15;254
75;108;188;34;9;158;318;273;16;25
7;88;19;43;14;166;317;275;118;298
58;144;21;41;106;156;318;29;304;254
7;136;19;41;86;128;317;272;237;31
205;12;19;34;48;102;317;281;192;344
51;12;42;49;9;12;317;256;15;298
61;12;205;61;13;306;319;279;157;242
83;196;83;46;5;134;318;278;109;27
8;112;16;63;15;174;318;286;112;29
86;14;125;55;202;262;318;288;138;254
138;96;107;66;106;218;318;285;131;264
106;144;42;58;7;168;317;295;17;338
51;196;21;42;72;138;318;287;182;282
173;84;261;63;11;242;319;298;173;278
54;296;38;61;162;242;318;322;243;28
109;276;21;66;32;228;318;272;15;258
74;156;24;61;7;142;318;282;15;296
93;224;19;49;176;306;319;269;202;248
61;156;19;41;86;114;318;281;16;28
94;8;35;56;48;178;318;286;218;266
64;152;21;39;98;138;316;277;166;338
38;144;34;5;126;194;318;29;237;304
109;196;117;51;162;274;318;274;128;24
58;124;26;56;96;17;318;32;214;278
8;132;34;24;46;102;317;29;144;328
61;156;19;41;86;114;318;281;16;28
7;132;32;51;82;134;318;304;176;304
48;112;235;58;78;198;319;263;125;24
74;156;227;66;13;256;319;265;154;24
7;164;107;39;104;154;318;282;147;306
134;76;11;47;166;2;318;287;118;266
72;16;67;34;78;158;317;318;115;342
8;18;37;51;106;158;317;281;154;318
99;196;246;53;34;158;32;282;144;254
109;64;112;42;7;154;318;307;144;266
7;8;256;5;11;15;319;286;147;238
93;92;18;5;102;24;317;291;109;318
106;128;13;43;24;46;317;286;115;338
15;116;237;27;58;19;318;278;154;32
195;152;194;344;64;294;32;262;154;246
125;104;158;67;88;242;318;27;134;29
54;116;8;32;66;144;317;279;109;328
51;148;21;41;12;166;317;283;163;33
163;96;34;49;38;206;317;286;192;346
77;16;246;59;216;264;319;285;221;25
176;68;131;46;34;8;318;274;96;254
86;1;29;47;24;146;318;274;173;24
83;6;19;61;94;166;318;274;147;234
58;196;18;38;74;108;318;266;218;278
77;116;32;26;5;114;317;289;144;334
226;4;208;5;118;286;319;275;16;242
166;104;91;43;72;174;317;277;86;346
8;156;34;41;8;166;317;291;138;326
102;104;24;65;46;188;318;288;115;286
96;116;45;29;98;142;318;294;202;302
83;96;147;5;146;202;318;294;122;25
96;196;26;51;82;134;318;302;189;272
86;184;178;61;118;236;319;282;214;25
9;1;206;62;9;252;319;289;138;24
77;136;75;46;114;214;318;285;189;282
102;14;22;57;22;218;318;288;134;286
9;168;29;35;8;124;318;274;125;304
7;128;94;62;106;202;318;285;182;288
83;72;22;39;48;18;318;295;112;272
77;148;98;31;102;15;317;283;109;33
93;128;22;25;46;62;317;298;112;306
77;188;21;49;48;174;318;283;144;294
96;18;56;225;202;24;318;269;125;242
7;132;27;47;178;218;318;295;179;278
